Component,Condition,Bus1,Bus2
// SP24_OL,,,
MTR40,SP24_PRI_CM4\MMXU1\PPV\zavg >= 50,3,
MTR41,SP24_MAIN_CM4\MMXU1\PPV\zavg >= 50,4,
MTR43,(SP24_MAIN_S42\MMXU1\PPV\phsAB >= 50) | (SP24_MAIN_S42\MMXU1\PPV\phsBC >= 50) | (SP24_MAIN_S42\MMXU1\PPV\phsCA >= 50),4,
MTR44,(SP24_MAIN_B22\MMXU1\PPV\phsAB >= 50) | (SP24_MAIN_B22\MMXU1\PPV\phsBC >= 50) | (SP24_MAIN_B22\MMXU1\PPV\phsCA >= 50),42,
BKR40,(SP24_PLC\PRI_A_Contact) & (SP24_PLC\PRI_Rack_In),3,4
BKR42,(SP24_PLC\MAIN_A_Contact) & (SP24_PLC\MAIN_Rack_In),4,42
BKR43,SP24_PLC\SP10_FDR_A_Contact,42,43
BKR44,SP24_PLC\SP10_GND_A_Contact,43,44
BKR45,SP24_PLC\SP09_FDR_A_Contact,42,45
BKR46,SP24_PLC\SP09_GND_A_Contact,45,46
BKR47,SP24_PLC\SP08_FDR_A_Contact,42,47
BKR48,SP24_PLC\SP08_GND_A_Contact,47,48
BKR49,SP24_PLC\SP07_FDR_A_Contact,42,49
BKR50,SP24_PLC\SP07_GND_A_Contact,49,50
BKR51,SP24_PLC\SP06_FDR_A_Contact,42,51
BKR52,SP24_PLC\SP06_GND_A_Contact,51,52
,,,
// SP26_OL,,,
MTR60,SP26_PRI_CM4\MMXU1\PPV\zavg >= 50,5,
MTR61,SP26_MAIN_CM4\MMXU1\PPV\zavg >= 50,6,
MTR63,(SP26_MAIN_S42\MMXU1\PPV\phsAB >= 50) | (SP26_MAIN_S42\MMXU1\PPV\phsBC >= 50) | (SP26_MAIN_S42\MMXU1\PPV\phsCA >= 50),6,
MTR64,(SP26_MAIN_B22\MMXU1\PPV\phsAB >= 50) | (SP26_MAIN_B22\MMXU1\PPV\phsBC >= 50) | (SP26_MAIN_B22\MMXU1\PPV\phsCA >= 50),62,
BKR60,(SP26_PLC\PRI_A_Contact) & (SP26_PLC\PRI_Rack_In),5,6
BKR62,(SP26_PLC\MAIN_A_Contact) & (SP26_PLC\MAIN_Rack_In),6,62
BKR63,SP26_PLC\SP01_FDR_A_Contact,62,63
BKR64,SP26_PLC\SP01_GND_A_Contact,63,64
BKR65,SP26_PLC\SP02_FDR_A_Contact,62,65
BKR66,SP26_PLC\SP02_GND_A_Contact,65,66
BKR67,SP26_PLC\SP03_FDR_A_Contact,62,67
BKR68,SP26_PLC\SP03_GND_A_Contact,67,68
BKR69,SP26_PLC\SP04_FDR_A_Contact,62,69
BKR70,SP26_PLC\SP04_GND_A_Contact,69,70
BKR71,SP26_PLC\SP05_FDR_A_Contact,62,71
BKR72,SP26_PLC\SP05_GND_A_Contact,71,72
,,,
// MTS2_OL,,,
SRC1,MTS2_MAIN_CM4\MMXU1\PPV\zavg >= 50,2,
MTR1,MTS2_MAIN_CM4\MMXU1\PPV\zavg >= 50,2,
MTR2,MTS2_TIE_1_CM4\MMXU1\PPV\zavg >= 50,7,
MTR3,MTS2_BLDGS_CM4\MMXU1\PPV\zavg >= 50,7,
MTR4,MTS2_LPCY1_CM4\MMXU1\PPV\zavg >= 50,7,
MTR5,MTS2_CYSS1A_CM4\MMXU1\PPV\zavg >= 50,7,
MTR6,MTS2_BXB_CM4\MMXU1\PPV\zavg >= 50,7,
MTR7,MTS2_SP24_CM4\MMXU1\PPV\zavg >= 50,7,
MTR8,MTS2_LP24_CM4\MMXU1\PPV\zavg >= 50,7,
MTR9,MTS2_CP04A_CM4\MMXU1\PPV\zavg >= 50,7,
MTR10,MTS2_CP04B_CM4\MMXU1\PPV\zavg >= 50,7,
MTR11,MTS2_CP05A_CM4\MMXU1\PPV\zavg >= 50,7,
MTR12,MTS2_CP05B_CM4\MMXU1\PPV\zavg >= 50,7,
MTR13,MTS2_CP06A_CM4\MMXU1\PPV\zavg >= 50,7,
MTR14,MTS2_CP06B_CM4\MMXU1\PPV\zavg >= 50,7,
MTR15,MTS2_TIE_3_CM4\MMXU1\PPV\zavg >= 50,7,
//BKR1,0,1,2
BKR7,(MTS2_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),2,7
BKR8,(MTS2_TIE_1_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_TIE_1_CM4\IOX_GGIO3\ZMtrInd6\zInd),8,7
BKR9,(MTS2_TIE_3_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_TIE_3_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,9
BKR10,(MTS2_BLDGS_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_BLDGS_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,10
BKR11,(MTS2_LPCY1_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_LPCY1_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,11
BKR12,(MTS2_CYSS1A_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CYSS1A_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,12
BKR13,(MTS2_BXB_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_BXB_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,13
BKR14,(MTS2_SP24_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_SP24_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,3
BKR15,(MTS2_LP24_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_LP24_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,15
BKR16,(MTS2_CP04A_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP04A_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,16
BKR17,(MTS2_CP04B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP04B_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,17
BKR18,(MTS2_CP05A_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP05A_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,18
BKR19,(MTS2_CP05B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP05B_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,19
BKR20,(MTS2_CP06A_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP06A_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,20
BKR21,(MTS2_CP06B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP06B_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,21
,,,
// MTS3_OL,,,
SRC2,MTS3_MAIN_CM4\MMXU1\PPV\zavg >= 50,28,
